Title,Singer,Lyric
벚꽃 엔딩,버스커 버스커,그대여 그대여 그대여 그대여 그대여 오늘은 우리 같이 걸어요 이 거리를 밤에 들려오는 자장노래 어떤가요 오예 몰랐던 그대와 단 둘이 손 잡고 알 수 없는 이 떨림과 둘이 걸어요 봄바람 휘날리며 흩날리는 벚꽃 잎이 울려 퍼질 이 거리를 우우 둘이 걸어요 봄바람 휘날리며 흩날리는 벚꽃 잎이 울려 퍼질 이 거리를 우우 둘이 걸어요 오예 그대여 우리 이제 손 잡아요 이 거리에 마침 들려오는 사랑 노래 어떤가요 오예 사랑하는 그대와 단 둘이 손잡고 알 수 없는 이 거리를 둘이 걸어요 봄바람 휘날리며 흩날리는 벚꽃 잎이 울려 퍼질 이 거리를 우우 둘이 걸어요 봄바람 휘날리며 흩날리는 벚꽃 잎이 울려 퍼질 이 거리를 우우 둘이 걸어요 바람 불면 울렁이는 기분 탓에 나도 모르게 바람 불면 저편에서 그대여 니 모습이 자꾸 겹쳐 오 또 울렁이는 기분 탓에 나도 모르게 바람 불면 저편에서 그대여 니 모습이 자꾸 겹쳐 사랑하는 연인들이 많군요 알 수 없는 친구들이 많아요 흩날리는 벚꽃 잎이 많군요 좋아요 봄바람 휘날리며 흩날리는 벚꽃 잎이 울려 퍼질 이 거리를 우우 둘이 걸어요 봄바람 휘날리며 흩날리는 벚꽃 잎이 울려 퍼질 이 거리를 우우 둘이 걸어요 그대여 그대여 그대여 그대여 그대여
안아줘,정준일,서러운 맘을 못 이겨 잠 못 들던 어둔 밤을 또 견디고 내 절망관 상관없이 무심하게도 아침은 날 깨우네 상처는 생각보다 쓰리고 아픔은 생각보다 깊어가 널 원망하던 수많은 밤이 내겐 지옥같아 내 곁에 있어줘 내게 머물러줘 네 손을 잡은 날 놓치지 말아줘 이렇게 니가 한걸음 멀어지면 내가 한걸음 더 가면 되잖아 하루에도 수천번씩 니 모습을 되뇌이고 생각했어 내게 했던 모진 말들 그 싸늘한 눈빛 차가운 표정들 넌 참 예쁜 사람 이었잖아 넌 참 예쁜 사람 이었잖아 제발 내게 이러지 말아줘 넌 날 잘 알잖아 내 곁에 있어줘 내게 머물러줘 네 손을 잡은 날 놓치지 말아줘 이렇게 니가 한걸음 멀어지면 내가 한걸음 더 가면 되잖아 내겐 내가 없어 난 자신이 없어 니가 없는 하루 견딜 수가 없어 이젠 뭘 어떻게 해야 할지 모르겠어 니가 없는 난 그냥 날 안아줘 나를 좀 안아줘 아무 말 말고서 내게 달려와줘 외롭고 불안하기만 한 맘으로 이렇게 널 기다리고 있잖아 난 너를 사랑해 난 너를 사랑해 긴 침묵 속에서 소리 내 외칠게 어리석고 나약하기만 한 내 마음을
기억을 걷는 시간,넬 (NELL),아직도 너의 소리를 듣고 아직도 너의 손길을 느껴 오늘도 난 너의 흔적 안에 살았죠 아직도 너의 모습이 보여 아직도 너의 온기를 느껴 오늘도 난 너의 시간 안에 살았죠 길을 지나는 어떤 낯선이의 모습속에도 바람을 타고 쓸쓸히 춤추는 저 낙엽위에도 뺨을 스치는 어느 저녁의 그 공기속에도 내가 보고 듣고 느끼는 모든 곳에 니가 있어 그래 어떤가요 그대 어떤가요 그댄 당신도 나와 같나요 어떤가요 그대 지금도 난 너를 느끼죠 이렇게 너를 부르는 지금 이순간도 난 그대가 보여 내일도 난 너를 보겠죠 내일도 난 너를 듣겠죠 내일도 모든게 오늘 하루와 같겠죠 길을 지나는 어떤 낯선이의 모습속에도 바람을 타고 쓸쓸히 춤추는 저 낙엽위에도 뺨을 스치는 어느 저녁의 그 공기속에도 내가 보고 듣고 느끼는 모든 곳에 니가 있어 그래 어떤가요 그대 어떤가요 그댄 당신도 나와 같나요 어떤가요 그대 길가에 덩그라니 놓여진 저 의자위에도 물을 마시려 무심코 집어든 유리잔 안에도 나를 바라보기위해 마주한 그 거울속에도 귓가에 살며시 내려앉은 음악속에도 니가있어 어떡하죠 이젠 어떡하죠 이젠 그대는 지웠을텐데 어떡하죠 이젠 우린 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라 어떡하죠 이젠 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라라 어떡하죠 이젠 그리움의 문을 열고 너의 기억이 날 찾아와 자꾸 눈시울이 붉어져 어떡하죠 이젠 그리움의 문을 열고 너의 기억이 날 찾아와 자꾸만 가슴이 미어져 어떡하죠 이젠 그리움의 문을 열고 너의 기억이 날 찾아와 자꾸 눈시울이 붉어져 어떡하죠 이젠 그리움의 문을 열고 너의 기억이 날 찾아와 자꾸만 가슴이 미어져 어떡하죠 이젠 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라 랄라라 라랄라랄라
겨울을 걷는다,윤딴딴,벌써 몇 달 짼가 너 만난다는 그 사람 얘길 들었어 아마 뭔 일이 있었나 저쨌나 떠들어대던 심보가 이젠 여기까지 발동해서 널 떠올리게 됐나봐 또 어쩌다 친구들에게 그 시절 얘길 들어도 내가 한 마디 못한 너를 멋대로 막돼먹게 말을 맘대로 막해 막 때리지도 못해 내 자신을 난 그게 문제였어 너와 이별에 난 버린 것이 많고 찾을 것이 많고 가는 마음마다 머물지를 잘 못해 사랑했던 시간 널 좋아했던 그 많은 아픈 날을 걸었네 너와 이별은 또 많은 날을 울게 만들었어 이젠 모두 지난 얘기지만 시간이 지난 난 처음 널 만났던 그 겨울 속을 걸어가 눈물없인 볼 수 없다던 한참 인기 많은 영화를 봤어 아마 주인공이 죽었나 저쨌나 떠들어대는 사람들 아마 둘은 다신 볼 수 없었지 그건 영화이니까 오 내 주변에 여자가 많단 그런 헛소릴 듣고 웃을 때가 아니야 아니 왜 내 얘길 내가 맘대로 못해 변명도 못해 남탓도 못해 암말도 못해 웃어 이자식이 난 그게 재미없어 너와 이별에 난 버린 것이 많고 찾을 것이 많고 가는 마음마다 머물지를 잘 못해 사랑했던 시간 널 좋아했던 그 많은 아픈 날을 걸었네 너와 이별은 또 많은 날을 울게 만들었어 이젠 모두 지난 얘기지만 시간이 지난 난 처음 널 만났던 그 겨울 속을 걸어가 걷다보면 시간이 말하겠지 그 겨울 속을 걸어가 걷다보면 마음이 말해주겠지 너와 이별은 참 버린 것이 많던 찾을 것이 많던 가는 마음 따라 흘러갔던 시간이 내게 줬던 아픈 힘들었었던 모든 걸 참으라고 말했네 너와 이별은 더 꺼내지도 않는 말이 돼버린걸 이젠 모두 지난 얘긴거야 시간이 지난 난 시간이 지난 난 그 겨울 속을 걸어가
남자를 몰라,버즈,매번 늦어도 이해 할게 누굴 만났니 먼저 묻지 않을게 고집스런 내 사랑 너의 말은 변명이라도 믿고 싶을테니 눈 비비는척 눈물 닦아내고 다음 약속도 잡을 이유 만들지 니 맘보다 한숨과 친해져도 널 보기위해 난 사니까 수없이 어긋난대도 기다릴게 아무리 가슴아파도 웃어볼게 떠나선 안돼 서둘러 저버리지 마 날 밀어내도 깊어지는 이 사랑을 봐 내 입을 막아도 세상이 다 아는데 왜 너만 몰라 왜 널 지킬 남자를 몰라 잊어보려고 해도 소용없어 하루도 못 가 너만 또 찾는 나인걸 혼자가 더 좋다는 슬픈 니 말 눈물이 자꾸 지워버려 수없이 어긋난대도 기다릴게 아무리 가슴아파도 웃어볼게 떠나선 안돼 서둘러 저버리지 마 날 밀어내도 깊어지는 이 사랑을 봐 내 입을 막아도 세상이 다 아는데 왜 너만 몰라 왜 널 지킬 남자를 몰라 니 맘에 누가 있든 괜찮아 한번쯤 못 이긴 척 돌아봐 보여줄게 더 많아 쉽게 보낼 수 없어 가지마 널 원해야만 견뎌내는 내 가슴이야 날마다 울어도 볼 때마다 행복해 왜 너만 몰라 왜 강한 내 사랑을 몰라
Emergency (Ver. 2),izi,후회 하고 있어요 우리 다투던 그 날 괜한 자존심 때문에 끝내자고 말을 해버린거야 금방 볼줄 알았어 날 찾길 바랬어 허나 며칠이 지나도 아무소식 조차 없어 항상 내게 너무 잘해줘서 쉽게 생각했나봐 이젠 알아 내 고집때문에 힘들었던 너를 이 바보야 진짜아니야 아직도 나를 그렇게 몰라 너를 가진 사랑 나밖에 없는데 제발 나를 떠나가지마  언제라도 내 편이 되준너 고마운줄 모르고 철없이 나 멋대로 한거 용서할수 없니 이 바보야 진짜아니야 아직도 나를 그렇게 몰라 너를 가진 사랑 나 밖에 없는데 제발 떠나가지마 너하나만 사랑하는데 이대로 나를 두고 가지마 나를 버리지마 그냥 날 안아줘 다시 사랑하게 돌아와
위잉위잉,혁오 (HYUKOH),비틀비틀 걸어가는 나의 다리 오늘도 의미없는 또 하루가 흘러가죠 사랑도 끼리끼리 하는거라 믿는 나는 좀처럼 두근두근 거릴일이 전혀없죠 위잉위잉 하루살이도 처량한 나를 비웃듯이 멀리 날아가죠 비잉비잉 돌아가는 세상도 나를 비웃듯이 계속 꿈틀대죠 Tell me Tell me Please don’t tell 차라리 듣지 못한 편이 내겐 좋을거야 Tell me Tell me Please don’t tell 차라리 보지 못한 편이 내겐 좋을거야 ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai 사람들 북적대는 출근길의 지하철엔 좀처럼 카드찍고 타볼일이 전혀없죠 집에서 뒹굴뒹굴 할 일없어 빈둥대는 내 모습 너무 초라해서 정말 죄송하죠 위잉위잉 하루살이도 처량한 나를 비웃듯이 멀리 날아가죠 비잉비잉 돌아가는 세상도 나를 비웃듯이 계속 꿈틀대죠 쌔앵 쌔앵 칼바람도 상처난 내 마음을 어쩌지는 못할거야 뚜욱 뚜욱 떨어지는 눈물이 언젠가는 이세상을 덮을거야 Tell me Tell me Please don’t tell 차라리 듣지 못한 편이 내겐 좋을거야 Tell me Tell me Please don’t tell 차라리 보지 못한 편이 내겐 좋을거야 Tell me Tell me Please don’t tell 차라리 느껴보지 못한 편이 좋을거야 Tell me Tell me Please don’t tell 차라리 살아보지 못한 편이 좋을거야 비틀비틀 걸어가는 나의 다리 오늘도 의미없는 또 하루가 흘러가죠 사랑도 끼리끼리 하는거라 믿는 나는 좀처럼 두근두근 거릴일이 전혀없죠 위잉위잉 하루살이도 처량한 나를 비웃듯이 멀리 날아가죠 비잉비잉 돌아가는 세상도 나를 비웃듯이 계속 꿈틀대죠
널 생각해,원 모어 찬스 (one more chance),Tonight 널 바래다 주는 길 내내 내가 변했다고 말하지 널 생각하지 않는다고 너는 투덜대지 언제나 넌 사랑이 설레임이니 내겐 사랑은 익숙함야 너를 떠올리는 그 시간을 따로 두진 않아 늘 널 생각해 그래 널 생각해 바쁜 하루의 순간 순간 그 순간도 니가 보여 모두 보여줄 순 없지만 조금은 너도 느끼잖아 늘 널 생각해 매일 널 생각해 잠이 들어 꿈꾸는 순간도 내 앞에 웃는 그런 너를 생각해 기억나 내가 처음 고백했던 그 날 멋진 이벤트도 없었지만 나 받아준 널 내 가슴에 늘 지금처럼 늘 널 생각해 그래 널 생각해 바쁜 하루의 순간 순간 그 순간도 니가 보여 모두 보여줄 순 없지만 조금은 너도 느끼잖아 늘 널 생각해 매일 널 생각해 잠이 들어 꿈꾸는 순간도 내 앞에 웃는 그런 너를 생각해 늘 널 생각해 그래 널 생각해 우리 함께 한 순간 순간 그 순간이 소중해서 말로 다 할 수는 없지만 조금씩 네게 보여줄게 늘 난 생각해 매일 난 생각해 이른 아침 잠에서 깨어나 이 세상에서 가장 행복한 너를 내 앞에 웃는 그런 널 보며 I Love You
여수 밤바다,버스커 버스커,여수 밤바다 이 조명에 담긴 아름다운 얘기가 있어 네게 들려주고파 전활 걸어 뭐하고 있냐고 나는 지금 여수 밤바다 여수 밤바다 아 아 아 아 아 아 아 너와 함께 걷고 싶다 이 바다를 너와 함께 걷고 싶어 이 거리를 너와 함께 걷고 싶다 이 바다를 너와 함께 걷고 싶어 여수 밤바다 여수 밤바다 이 바람에 걸린 알 수없는 향기가 있어 네게 전해주고파 전활 걸어 뭐하고 있냐고 나는 지금 여수 밤바다 여수 밤바다 아 아 아 아 아 아 아 너와 함께 걷고 싶다 이 바다를 너와 함께 걷고 싶어 이 거리를 너와 함께 걷고 싶다 이 바다를 너와 함께 너와 함께 오 바다 이 조명에 담긴 아름다운 얘기가 있어 네게 들려주고파 전활 걸어 뭐하고 있냐고 나는 지금 여수 밤바다 여수 밤바다 아 바다 아아아 하아아아 하아오오 하 아아아 허오 아아아아 뭐하고 있냐고 나는 지금 여수 밤바다
비와 당신 (영화 '라디오스타' 삽입곡),럼블피쉬,이젠 당신이 그립지 않죠 보고 싶은 마음도 없죠 사랑한 것도 잊혀가네요 조용하게 알 수 없는 건 그런 내 맘이 비가 오면 눈물이 나요 아주 오래전 당신 떠나던 그날 처럼 이젠 괜찮은데 사랑따윈 저버렸는데 바보같은 난 눈물이 날까 아련해지는 빛바랜 추억 그 얼마나 사무친건지 미운 당신을 아직도 나는 그리워하네 이젠 괜찮은데 사랑 따윈 저버렸는데 바보같은 난 눈물이 날까 다신 안올텐데 잊지 못한 내가 싫은데 언제까지 내 맘은 아플까 이젠 괜찮은데 사랑따윈 저버렸는데 바보같은 나 눈물이 날까
